"001INA0H.TMC"
Time/sec,Abs
0.0,2.406
1.0,2.404
2.0,2.402
3.0,2.400
4.0,2.398
5.0,2.396
6.0,2.394
7.0,2.391
8.0,2.389
9.0,2.387
10.0,2.385
11.0,2.382
12.0,2.380
13.0,2.378
14.0,2.375
15.0,2.373
16.0,2.371
17.0,2.369
18.0,2.366
19.0,2.364
20.0,2.362
21.0,2.360
22.0,2.358
23.0,2.355
24.0,2.353
25.0,2.351
26.0,2.349
27.0,2.346
28.0,2.344
29.0,2.342
30.0,2.340
31.0,2.337
32.0,2.335
33.0,2.333
34.0,2.331
35.0,2.329
36.0,2.326
37.0,2.324
38.0,2.322
39.0,2.320
40.0,2.317
41.0,2.315
42.0,2.313
43.0,2.310
44.0,2.308
45.0,2.306
46.0,2.303
47.0,2.301
48.0,2.299
49.0,2.297
50.0,2.295
51.0,2.293
52.0,2.290
53.0,2.288
54.0,2.286
55.0,2.283
56.0,2.281
57.0,2.279
58.0,2.277
59.0,2.275
60.0,2.272
61.0,2.270
62.0,2.268
63.0,2.266
64.0,2.264
65.0,2.262
66.0,2.259
67.0,2.257
68.0,2.255
69.0,2.253
70.0,2.250
71.0,2.248
72.0,2.246
73.0,2.244
74.0,2.241
75.0,2.239
76.0,2.237
77.0,2.235
78.0,2.233
79.0,2.231
80.0,2.228
81.0,2.226
82.0,2.224
83.0,2.221
84.0,2.219
85.0,2.217
86.0,2.215
87.0,2.213
88.0,2.211
89.0,2.208
90.0,2.206
91.0,2.204
92.0,2.202
93.0,2.200
94.0,2.197
95.0,2.195
96.0,2.193
97.0,2.191
98.0,2.189
99.0,2.187
100.0,2.184
101.0,2.182
102.0,2.180
103.0,2.178
104.0,2.176
105.0,2.174
106.0,2.171
107.0,2.169
108.0,2.167
109.0,2.165
110.0,2.163
111.0,2.160
112.0,2.158
113.0,2.156
114.0,2.154
115.0,2.152
116.0,2.149
117.0,2.148
118.0,2.145
119.0,2.143
120.0,2.141
121.0,2.139
122.0,2.136
123.0,2.134
124.0,2.132
125.0,2.130
126.0,2.128
127.0,2.126
128.0,2.124
129.0,2.121
130.0,2.119
131.0,2.117
132.0,2.115
133.0,2.113
134.0,2.111
135.0,2.109
136.0,2.106
137.0,2.104
138.0,2.102
139.0,2.100
140.0,2.098
141.0,2.096
142.0,2.094
143.0,2.092
144.0,2.089
145.0,2.087
146.0,2.085
147.0,2.083
148.0,2.081
149.0,2.079
150.0,2.077
151.0,2.075
152.0,2.072
153.0,2.070
154.0,2.068
155.0,2.066
156.0,2.064
157.0,2.062
158.0,2.060
159.0,2.058
160.0,2.056
161.0,2.054
162.0,2.052
163.0,2.049
164.0,2.047
165.0,2.045
166.0,2.043
167.0,2.041
168.0,2.039
169.0,2.037
170.0,2.035
171.0,2.033
172.0,2.031
173.0,2.029
174.0,2.027
175.0,2.024
176.0,2.023
177.0,2.020
178.0,2.018
179.0,2.016
180.0,2.014
181.0,2.012
182.0,2.010
183.0,2.008
184.0,2.006
185.0,2.004
186.0,2.002
187.0,2.000
188.0,1.998
189.0,1.996
190.0,1.994
191.0,1.992
192.0,1.990
193.0,1.988
194.0,1.986
195.0,1.984
196.0,1.982
197.0,1.979
198.0,1.977
199.0,1.976
200.0,1.973
201.0,1.971
202.0,1.969
203.0,1.967
204.0,1.965
205.0,1.963
206.0,1.962
207.0,1.959
208.0,1.957
209.0,1.955
210.0,1.953
211.0,1.951
212.0,1.949
213.0,1.947
214.0,1.945
215.0,1.943
216.0,1.941
217.0,1.939
218.0,1.937
219.0,1.936
220.0,1.933
221.0,1.931
222.0,1.929
223.0,1.928
224.0,1.926
225.0,1.923
226.0,1.922
227.0,1.920
228.0,1.918
229.0,1.916
230.0,1.914
231.0,1.912
232.0,1.910
233.0,1.908
234.0,1.906
235.0,1.904
236.0,1.902
237.0,1.900
238.0,1.898
239.0,1.896
240.0,1.894
241.0,1.892
242.0,1.890
243.0,1.888
244.0,1.886
245.0,1.884
246.0,1.883
247.0,1.880
248.0,1.879
249.0,1.877
250.0,1.875
251.0,1.873
252.0,1.871
253.0,1.869
254.0,1.867
255.0,1.865
256.0,1.863
257.0,1.861
258.0,1.859
259.0,1.857
260.0,1.855
261.0,1.854
262.0,1.852
263.0,1.850
264.0,1.848
265.0,1.846
266.0,1.844
267.0,1.842
268.0,1.840
269.0,1.838
270.0,1.836
271.0,1.834
272.0,1.833
273.0,1.831
274.0,1.829
275.0,1.827
276.0,1.825
277.0,1.823
278.0,1.821
279.0,1.819
280.0,1.818
281.0,1.816
282.0,1.814
283.0,1.812
284.0,1.810
285.0,1.808
286.0,1.806
287.0,1.805
288.0,1.803
289.0,1.801
290.0,1.799
291.0,1.797
292.0,1.795
293.0,1.794
294.0,1.792
295.0,1.790
296.0,1.788
297.0,1.787
298.0,1.785
299.0,1.783
300.0,1.781
301.0,1.779
302.0,1.778
303.0,1.776
304.0,1.774
305.0,1.773
306.0,1.771
307.0,1.769
308.0,1.768
309.0,1.766
310.0,1.764
311.0,1.763
312.0,1.761
313.0,1.760
314.0,1.758
315.0,1.756
316.0,1.755
317.0,1.753
318.0,1.752
319.0,1.750
320.0,1.749
321.0,1.747
322.0,1.746
323.0,1.744
324.0,1.743
325.0,1.741
326.0,1.740
327.0,1.738
328.0,1.737
329.0,1.735
330.0,1.734
331.0,1.732
332.0,1.730
333.0,1.729
334.0,1.728
335.0,1.726
336.0,1.724
337.0,1.723
338.0,1.721
339.0,1.720
340.0,1.718
341.0,1.717
342.0,1.715
343.0,1.714
344.0,1.712
345.0,1.711
346.0,1.709
347.0,1.707
348.0,1.706
349.0,1.704
350.0,1.702
351.0,1.701
352.0,1.699
353.0,1.698
354.0,1.696
355.0,1.695
356.0,1.693
357.0,1.692
358.0,1.690
359.0,1.689
360.0,1.687
361.0,1.686
362.0,1.684
363.0,1.683
364.0,1.681
365.0,1.679
366.0,1.678
367.0,1.677
368.0,1.675
369.0,1.673
370.0,1.672
371.0,1.670
372.0,1.669
373.0,1.667
374.0,1.666
375.0,1.664
376.0,1.663
377.0,1.661
378.0,1.660
379.0,1.658
380.0,1.657
381.0,1.655
382.0,1.654
383.0,1.652
384.0,1.651
385.0,1.649
386.0,1.648
387.0,1.646
388.0,1.645
389.0,1.643
390.0,1.641
391.0,1.640
392.0,1.638
393.0,1.637
394.0,1.635
395.0,1.633
396.0,1.632
397.0,1.630
398.0,1.629
399.0,1.627
400.0,1.625
