"00368INA.TMC"
Time/sec,Abs
0.0,2.452
1.0,2.450
2.0,2.449
3.0,2.447
4.0,2.445
5.0,2.444
6.0,2.441
7.0,2.439
8.0,2.437
9.0,2.435
10.0,2.433
11.0,2.431
12.0,2.430
13.0,2.428
14.0,2.426
15.0,2.423
16.0,2.421
17.0,2.420
18.0,2.418
19.0,2.416
20.0,2.414
21.0,2.412
22.0,2.410
23.0,2.408
24.0,2.406
25.0,2.404
26.0,2.402
27.0,2.400
28.0,2.398
29.0,2.396
30.0,2.394
31.0,2.392
32.0,2.390
33.0,2.388
34.0,2.386
35.0,2.384
36.0,2.382
37.0,2.381
38.0,2.378
39.0,2.376
40.0,2.374
41.0,2.372
42.0,2.370
43.0,2.368
44.0,2.366
45.0,2.365
46.0,2.362
47.0,2.361
48.0,2.359
49.0,2.357
50.0,2.355
51.0,2.353
52.0,2.351
53.0,2.349
54.0,2.347
55.0,2.345
56.0,2.343
57.0,2.341
58.0,2.339
59.0,2.337
60.0,2.335
61.0,2.333
62.0,2.332
63.0,2.329
64.0,2.328
65.0,2.325
66.0,2.323
67.0,2.321
68.0,2.319
69.0,2.317
70.0,2.315
71.0,2.313
72.0,2.311
73.0,2.309
74.0,2.308
75.0,2.306
76.0,2.304
77.0,2.302
78.0,2.300
79.0,2.298
80.0,2.296
81.0,2.294
82.0,2.292
83.0,2.290
84.0,2.288
85.0,2.286
86.0,2.284
87.0,2.282
88.0,2.280
89.0,2.278
90.0,2.276
91.0,2.274
92.0,2.272
93.0,2.270
94.0,2.268
95.0,2.266
96.0,2.264
97.0,2.262
98.0,2.260
99.0,2.259
100.0,2.256
101.0,2.254
102.0,2.252
103.0,2.251
104.0,2.248
105.0,2.247
106.0,2.244
107.0,2.242
108.0,2.240
109.0,2.239
110.0,2.236
111.0,2.234
112.0,2.232
113.0,2.230
114.0,2.228
115.0,2.227
116.0,2.224
117.0,2.223
118.0,2.220
119.0,2.218
120.0,2.217
121.0,2.215
122.0,2.212
123.0,2.211
124.0,2.209
125.0,2.207
126.0,2.205
127.0,2.203
128.0,2.201
129.0,2.199
130.0,2.197
131.0,2.195
132.0,2.193
133.0,2.191
134.0,2.190
135.0,2.188
136.0,2.186
137.0,2.184
138.0,2.182
139.0,2.180
140.0,2.178
141.0,2.176
142.0,2.174
143.0,2.172
144.0,2.170
145.0,2.168
146.0,2.167
147.0,2.164
148.0,2.163
149.0,2.161
150.0,2.159
151.0,2.157
152.0,2.155
153.0,2.153
154.0,2.151
155.0,2.149
156.0,2.147
157.0,2.145
158.0,2.143
159.0,2.142
160.0,2.140
161.0,2.138
162.0,2.136
163.0,2.134
164.0,2.132
165.0,2.130
166.0,2.128
167.0,2.127
168.0,2.125
169.0,2.123
170.0,2.121
171.0,2.119
172.0,2.117
173.0,2.115
174.0,2.113
175.0,2.111
176.0,2.109
177.0,2.108
178.0,2.106
179.0,2.104
180.0,2.102
181.0,2.100
182.0,2.098
183.0,2.096
184.0,2.095
185.0,2.093
186.0,2.091
187.0,2.089
188.0,2.087
189.0,2.085
190.0,2.083
191.0,2.082
192.0,2.079
193.0,2.078
194.0,2.076
195.0,2.074
196.0,2.072
197.0,2.070
198.0,2.068
199.0,2.067
200.0,2.065
201.0,2.063
202.0,2.061
203.0,2.059
204.0,2.057
205.0,2.056
206.0,2.054
207.0,2.052
208.0,2.050
209.0,2.048
210.0,2.046
211.0,2.045
212.0,2.043
213.0,2.041
214.0,2.039
215.0,2.037
216.0,2.035
217.0,2.033
218.0,2.032
219.0,2.030
220.0,2.028
221.0,2.026
222.0,2.024
