"01CONNA0.TMC"
Time/sec,Abs
0.0,2.526
1.0,2.525
2.0,2.523
3.0,2.521
4.0,2.520
5.0,2.519
6.0,2.517
7.0,2.516
8.0,2.513
9.0,2.513
10.0,2.511
11.0,2.510
12.0,2.508
13.0,2.507
14.0,2.506
15.0,2.504
16.0,2.502
17.0,2.501
18.0,2.500
19.0,2.498
20.0,2.496
21.0,2.495
22.0,2.493
23.0,2.492
24.0,2.491
25.0,2.489
26.0,2.487
27.0,2.486
28.0,2.485
29.0,2.483
30.0,2.481
31.0,2.480
32.0,2.479
33.0,2.477
34.0,2.476
35.0,2.474
36.0,2.473
37.0,2.471
38.0,2.470
39.0,2.468
40.0,2.467
41.0,2.466
42.0,2.464
43.0,2.463
44.0,2.461
45.0,2.460
46.0,2.458
47.0,2.456
48.0,2.455
49.0,2.454
50.0,2.452
51.0,2.451
52.0,2.450
53.0,2.448
54.0,2.446
55.0,2.445
56.0,2.444
57.0,2.442
58.0,2.441
59.0,2.439
60.0,2.438
61.0,2.436
62.0,2.435
63.0,2.433
64.0,2.432
65.0,2.430
66.0,2.429
67.0,2.428
68.0,2.426
69.0,2.424
70.0,2.423
71.0,2.421
72.0,2.420
73.0,2.419
74.0,2.418
75.0,2.416
76.0,2.414
77.0,2.413
78.0,2.412
79.0,2.410
80.0,2.409
81.0,2.407
82.0,2.407
83.0,2.405
84.0,2.403
85.0,2.402
86.0,2.401
87.0,2.400
88.0,2.398
89.0,2.397
90.0,2.396
91.0,2.393
92.0,2.393
93.0,2.391
94.0,2.390
95.0,2.388
96.0,2.387
97.0,2.385
98.0,2.384
99.0,2.382
100.0,2.382
101.0,2.380
102.0,2.378
103.0,2.377
104.0,2.375
105.0,2.374
106.0,2.373
107.0,2.372
108.0,2.370
109.0,2.369
110.0,2.368
111.0,2.366
112.0,2.365
113.0,2.364
114.0,2.362
115.0,2.360
116.0,2.359
117.0,2.358
118.0,2.356
119.0,2.355
120.0,2.353
121.0,2.352
122.0,2.350
123.0,2.349
124.0,2.348
125.0,2.346
126.0,2.345
127.0,2.343
128.0,2.342
129.0,2.341
130.0,2.339
131.0,2.338
132.0,2.336
133.0,2.335
134.0,2.334
135.0,2.333
136.0,2.331
137.0,2.330
138.0,2.329
139.0,2.327
140.0,2.326
141.0,2.324
142.0,2.322
143.0,2.321
144.0,2.320
145.0,2.319
146.0,2.317
147.0,2.316
148.0,2.315
149.0,2.313
150.0,2.312
151.0,2.310
152.0,2.309
153.0,2.308
154.0,2.307
155.0,2.305
156.0,2.304
157.0,2.303
158.0,2.301
159.0,2.300
160.0,2.299
161.0,2.297
162.0,2.296
163.0,2.295
164.0,2.293
165.0,2.292
166.0,2.291
167.0,2.289
168.0,2.288
169.0,2.286
170.0,2.286
171.0,2.284
172.0,2.283
173.0,2.281
174.0,2.280
175.0,2.279
176.0,2.278
177.0,2.276
178.0,2.275
179.0,2.274
180.0,2.272
181.0,2.271
182.0,2.270
183.0,2.268
184.0,2.267
185.0,2.266
186.0,2.264
187.0,2.263
188.0,2.262
189.0,2.260
190.0,2.259
191.0,2.258
192.0,2.256
193.0,2.255
194.0,2.254
195.0,2.253
196.0,2.252
197.0,2.250
198.0,2.248
199.0,2.247
200.0,2.246
201.0,2.245
202.0,2.244
203.0,2.243
