"02CONCNA.TMC"
Time/sec,Abs
0.0,2.576
1.0,2.572
2.0,2.568
3.0,2.564
4.0,2.559
5.0,2.554
6.0,2.550
7.0,2.546
8.0,2.541
9.0,2.536
10.0,2.532
11.0,2.528
12.0,2.523
13.0,2.518
14.0,2.514
15.0,2.509
16.0,2.504
17.0,2.501
18.0,2.497
19.0,2.492
20.0,2.487
21.0,2.483
22.0,2.479
23.0,2.474
24.0,2.470
25.0,2.466
26.0,2.461
27.0,2.457
28.0,2.453
29.0,2.449
30.0,2.445
31.0,2.441
32.0,2.437
33.0,2.433
34.0,2.429
35.0,2.426
36.0,2.422
37.0,2.418
38.0,2.415
39.0,2.411
40.0,2.407
41.0,2.404
42.0,2.401
43.0,2.397
44.0,2.394
45.0,2.390
46.0,2.387
47.0,2.384
48.0,2.381
49.0,2.378
50.0,2.375
51.0,2.372
52.0,2.369
53.0,2.367
54.0,2.364
55.0,2.361
56.0,2.358
57.0,2.355
58.0,2.352
59.0,2.349
60.0,2.346
61.0,2.343
62.0,2.341
63.0,2.338
64.0,2.335
65.0,2.332
66.0,2.329
67.0,2.326
68.0,2.324
69.0,2.321
70.0,2.318
71.0,2.315
72.0,2.312
73.0,2.309
74.0,2.307
75.0,2.304
76.0,2.301
77.0,2.298
78.0,2.296
79.0,2.293
80.0,2.290
81.0,2.287
82.0,2.284
83.0,2.282
84.0,2.279
85.0,2.276
86.0,2.273
87.0,2.270
88.0,2.267
89.0,2.265
90.0,2.262
91.0,2.259
92.0,2.256
93.0,2.253
94.0,2.251
95.0,2.248
96.0,2.245
97.0,2.243
98.0,2.240
99.0,2.237
100.0,2.234
101.0,2.231
102.0,2.229
103.0,2.226
104.0,2.223
105.0,2.220
106.0,2.218
107.0,2.215
108.0,2.212
109.0,2.209
110.0,2.206
111.0,2.204
112.0,2.201
113.0,2.198
114.0,2.195
115.0,2.193
116.0,2.190
117.0,2.187
118.0,2.184
119.0,2.182
120.0,2.179
121.0,2.176
122.0,2.173
123.0,2.171
124.0,2.168
125.0,2.165
126.0,2.162
127.0,2.159
128.0,2.157
129.0,2.154
130.0,2.151
131.0,2.149
132.0,2.146
133.0,2.143
134.0,2.140
135.0,2.138
136.0,2.135
137.0,2.132
138.0,2.129
139.0,2.127
140.0,2.124
141.0,2.121
142.0,2.119
143.0,2.116
144.0,2.113
145.0,2.110
146.0,2.108
147.0,2.105
148.0,2.102
149.0,2.100
150.0,2.097
151.0,2.094
152.0,2.092
153.0,2.089
154.0,2.086
155.0,2.083
156.0,2.081
157.0,2.078
158.0,2.076
159.0,2.073
160.0,2.070
161.0,2.068
162.0,2.065
163.0,2.062
164.0,2.059
165.0,2.057
166.0,2.054
167.0,2.052
168.0,2.049
169.0,2.046
170.0,2.044
171.0,2.041
172.0,2.038
173.0,2.036
174.0,2.033
175.0,2.030
176.0,2.028
177.0,2.025
178.0,2.023
179.0,2.020
180.0,2.017
181.0,2.015
182.0,2.012
183.0,2.010
184.0,2.007
185.0,2.004
186.0,2.002
187.0,1.999
188.0,1.997
189.0,1.994
190.0,1.991
191.0,1.989
192.0,1.986
193.0,1.984
194.0,1.981
195.0,1.978
196.0,1.976
197.0,1.973
198.0,1.971
199.0,1.968
200.0,1.965
201.0,1.963
202.0,1.961
203.0,1.958
204.0,1.955
205.0,1.953
206.0,1.950
207.0,1.948
208.0,1.945
209.0,1.943
210.0,1.940
211.0,1.938
212.0,1.935
213.0,1.932
214.0,1.930
215.0,1.928
216.0,1.925
217.0,1.923
218.0,1.920
219.0,1.917
220.0,1.915
221.0,1.912
222.0,1.910
223.0,1.907
224.0,1.905
225.0,1.902
226.0,1.900
227.0,1.897
228.0,1.895
229.0,1.892
230.0,1.890
231.0,1.887
232.0,1.885
233.0,1.882
234.0,1.880
235.0,1.877
236.0,1.875
237.0,1.872
238.0,1.870
239.0,1.868
240.0,1.865
241.0,1.863
242.0,1.860
243.0,1.858
244.0,1.855
245.0,1.853
246.0,1.850
247.0,1.848
248.0,1.846
249.0,1.843
250.0,1.841
251.0,1.839
252.0,1.836
253.0,1.834
254.0,1.831
255.0,1.829
256.0,1.827
257.0,1.824
258.0,1.822
