"04CONA0H.TMC"
Time/sec,Abs
0.0,2.180
1.0,2.173
2.0,2.166
3.0,2.160
4.0,2.153
5.0,2.146
6.0,2.140
7.0,2.133
8.0,2.126
9.0,2.119
10.0,2.113
11.0,2.106
12.0,2.100
13.0,2.093
14.0,2.086
15.0,2.080
16.0,2.073
17.0,2.067
18.0,2.060
19.0,2.054
20.0,2.047
21.0,2.041
22.0,2.035
23.0,2.028
24.0,2.022
25.0,2.016
26.0,2.009
27.0,2.003
28.0,1.997
29.0,1.991
30.0,1.985
31.0,1.979
32.0,1.972
33.0,1.966
34.0,1.960
35.0,1.954
36.0,1.948
37.0,1.942
38.0,1.936
39.0,1.930
40.0,1.924
41.0,1.918
42.0,1.913
43.0,1.907
44.0,1.901
45.0,1.895
46.0,1.889
47.0,1.883
48.0,1.878
49.0,1.872
50.0,1.866
51.0,1.861
52.0,1.855
53.0,1.849
54.0,1.844
55.0,1.838
56.0,1.832
57.0,1.827
58.0,1.821
59.0,1.815
60.0,1.810
61.0,1.804
62.0,1.799
63.0,1.793
64.0,1.788
65.0,1.782
66.0,1.776
67.0,1.771
68.0,1.766
69.0,1.760
70.0,1.755
71.0,1.749
72.0,1.744
73.0,1.738
74.0,1.733
75.0,1.728
76.0,1.722
77.0,1.717
78.0,1.712
79.0,1.707
80.0,1.701
81.0,1.696
82.0,1.691
83.0,1.685
84.0,1.680
85.0,1.675
86.0,1.670
87.0,1.665
88.0,1.660
89.0,1.654
90.0,1.649
91.0,1.644
92.0,1.639
93.0,1.634
94.0,1.629
95.0,1.624
96.0,1.619
97.0,1.614
98.0,1.609
99.0,1.604
100.0,1.599
101.0,1.594
102.0,1.589
103.0,1.584
104.0,1.580
105.0,1.575
106.0,1.570
107.0,1.565
108.0,1.560
109.0,1.555
110.0,1.551
111.0,1.546
112.0,1.541
113.0,1.536
114.0,1.532
115.0,1.527
116.0,1.522
117.0,1.518
118.0,1.513
119.0,1.508
120.0,1.504
121.0,1.499
122.0,1.495
123.0,1.490
124.0,1.485
125.0,1.481
126.0,1.476
127.0,1.472
128.0,1.467
129.0,1.463
130.0,1.458
131.0,1.454
132.0,1.449
133.0,1.445
134.0,1.440
135.0,1.436
136.0,1.432
137.0,1.427
138.0,1.423
139.0,1.418
140.0,1.414
141.0,1.410
142.0,1.406
143.0,1.401
144.0,1.397
145.0,1.393
146.0,1.388
147.0,1.384
148.0,1.380
149.0,1.376
150.0,1.371
151.0,1.367
152.0,1.363
153.0,1.359
154.0,1.355
155.0,1.351
156.0,1.347
157.0,1.342
158.0,1.338
159.0,1.334
160.0,1.330
161.0,1.326
162.0,1.322
163.0,1.318
164.0,1.314
165.0,1.310
166.0,1.306
167.0,1.302
168.0,1.298
169.0,1.294
170.0,1.290
171.0,1.286
172.0,1.282
173.0,1.278
174.0,1.275
175.0,1.271
176.0,1.267
177.0,1.263
178.0,1.259
179.0,1.255
180.0,1.252
181.0,1.248
182.0,1.244
183.0,1.240
184.0,1.237
185.0,1.233
186.0,1.229
187.0,1.225
188.0,1.222
189.0,1.218
190.0,1.214
191.0,1.211
192.0,1.207
193.0,1.203
194.0,1.200
195.0,1.196
196.0,1.192
197.0,1.189
198.0,1.185
199.0,1.182
200.0,1.178
201.0,1.174
202.0,1.171
203.0,1.167
204.0,1.164
205.0,1.160
206.0,1.157
207.0,1.153
208.0,1.150
209.0,1.146
210.0,1.143
211.0,1.140
212.0,1.136
213.0,1.133
214.0,1.129
215.0,1.126
216.0,1.122
217.0,1.119
218.0,1.116
219.0,1.112
220.0,1.109
221.0,1.106
222.0,1.102
223.0,1.099
224.0,1.096
225.0,1.093
226.0,1.089
227.0,1.086
228.0,1.083
229.0,1.079
230.0,1.076
231.0,1.073
232.0,1.070
233.0,1.067
234.0,1.063
235.0,1.060
236.0,1.057
237.0,1.054
238.0,1.051
239.0,1.048
240.0,1.044
241.0,1.041
242.0,1.038
243.0,1.035
244.0,1.032
245.0,1.029
246.0,1.026
247.0,1.023
248.0,1.020
249.0,1.017
250.0,1.014
251.0,1.011
252.0,1.008
253.0,1.005
254.0,1.002
255.0,0.999
256.0,0.996
257.0,0.993
258.0,0.990
259.0,0.987
260.0,0.984
261.0,0.981
262.0,0.978
263.0,0.975
264.0,0.972
265.0,0.969
266.0,0.966
267.0,0.963
268.0,0.961
269.0,0.958
270.0,0.955
271.0,0.952
272.0,0.949
273.0,0.946
274.0,0.943
275.0,0.941
276.0,0.938
277.0,0.935
278.0,0.932
279.0,0.929
280.0,0.927
281.0,0.924
282.0,0.921
283.0,0.919
284.0,0.916
285.0,0.913
286.0,0.910
287.0,0.908
288.0,0.905
289.0,0.902
290.0,0.900
291.0,0.897
292.0,0.894
293.0,0.892
294.0,0.889
295.0,0.886
296.0,0.884
297.0,0.881
298.0,0.878
299.0,0.876
300.0,0.873
301.0,0.871
302.0,0.868
303.0,0.866
304.0,0.863
305.0,0.861
306.0,0.858
307.0,0.856
308.0,0.853
309.0,0.851
310.0,0.848
311.0,0.845
312.0,0.843
313.0,0.841
314.0,0.838
315.0,0.836
316.0,0.833
317.0,0.831
318.0,0.828
319.0,0.826
320.0,0.824
321.0,0.821
322.0,0.819
323.0,0.816
324.0,0.814
325.0,0.812
326.0,0.809
327.0,0.807
328.0,0.805
329.0,0.802
330.0,0.800
331.0,0.798
332.0,0.795
333.0,0.793
334.0,0.791
335.0,0.789
336.0,0.786
337.0,0.784
338.0,0.782
339.0,0.780
340.0,0.777
341.0,0.775
342.0,0.773
343.0,0.771
344.0,0.768
345.0,0.766
346.0,0.764
347.0,0.762
348.0,0.760
349.0,0.757
350.0,0.755
351.0,0.753
352.0,0.751
353.0,0.749
354.0,0.747
355.0,0.744
356.0,0.742
357.0,0.740
358.0,0.738
359.0,0.736
360.0,0.734
361.0,0.732
362.0,0.730
363.0,0.727
364.0,0.725
365.0,0.723
366.0,0.721
367.0,0.719
368.0,0.717
369.0,0.715
370.0,0.713
371.0,0.711
372.0,0.709
373.0,0.707
374.0,0.705
375.0,0.702
376.0,0.701
377.0,0.698
378.0,0.697
379.0,0.695
380.0,0.692
381.0,0.691
382.0,0.689
383.0,0.687
384.0,0.685
385.0,0.683
386.0,0.681
387.0,0.679
388.0,0.677
389.0,0.675
390.0,0.673
391.0,0.671
392.0,0.669
393.0,0.667
394.0,0.665
395.0,0.664
396.0,0.662
397.0,0.660
398.0,0.658
399.0,0.656
400.0,0.654
