"08INACL.TMC"
Time/sec,Abs
0.0,2.560
1.0,2.559
2.0,2.558
3.0,2.556
4.0,2.556
5.0,2.555
6.0,2.553
7.0,2.553
8.0,2.552
9.0,2.550
10.0,2.550
11.0,2.548
12.0,2.548
13.0,2.547
14.0,2.546
15.0,2.545
16.0,2.544
17.0,2.543
18.0,2.542
19.0,2.541
20.0,2.539
21.0,2.539
22.0,2.537
23.0,2.536
24.0,2.535
25.0,2.534
26.0,2.533
27.0,2.532
28.0,2.531
29.0,2.530
30.0,2.529
31.0,2.528
32.0,2.527
33.0,2.526
34.0,2.525
35.0,2.525
36.0,2.524
37.0,2.523
38.0,2.522
39.0,2.521
40.0,2.521
41.0,2.520
42.0,2.519
43.0,2.518
44.0,2.517
45.0,2.516
46.0,2.515
47.0,2.514
48.0,2.514
49.0,2.513
50.0,2.511
51.0,2.511
52.0,2.510
53.0,2.509
54.0,2.508
55.0,2.507
56.0,2.507
57.0,2.505
58.0,2.505
59.0,2.504
60.0,2.503
61.0,2.502
62.0,2.500
63.0,2.500
64.0,2.499
65.0,2.498
66.0,2.496
67.0,2.496
68.0,2.495
69.0,2.495
70.0,2.494
71.0,2.493
72.0,2.492
73.0,2.491
74.0,2.490
75.0,2.489
76.0,2.488
77.0,2.488
78.0,2.487
79.0,2.486
80.0,2.485
81.0,2.484
82.0,2.483
83.0,2.482
84.0,2.481
85.0,2.480
86.0,2.479
87.0,2.478
88.0,2.477
89.0,2.476
90.0,2.475
91.0,2.474
92.0,2.473
93.0,2.472
94.0,2.471
95.0,2.470
96.0,2.469
97.0,2.468
98.0,2.467
99.0,2.466
100.0,2.465
101.0,2.464
102.0,2.463
103.0,2.462
104.0,2.462
105.0,2.460
106.0,2.459
107.0,2.458
108.0,2.457
109.0,2.456
110.0,2.455
111.0,2.454
112.0,2.453
113.0,2.452
114.0,2.451
115.0,2.450
116.0,2.450
117.0,2.449
118.0,2.448
119.0,2.447
120.0,2.445
121.0,2.445
122.0,2.444
123.0,2.443
124.0,2.442
125.0,2.441
126.0,2.440
127.0,2.439
128.0,2.438
129.0,2.437
130.0,2.436
131.0,2.435
132.0,2.434
133.0,2.433
134.0,2.432
135.0,2.431
136.0,2.430
137.0,2.429
138.0,2.428
139.0,2.427
140.0,2.426
141.0,2.425
142.0,2.424
143.0,2.423
144.0,2.423
145.0,2.421
146.0,2.420
147.0,2.419
148.0,2.418
149.0,2.417
150.0,2.417
151.0,2.416
152.0,2.414
153.0,2.413
154.0,2.412
155.0,2.411
156.0,2.411
157.0,2.410
158.0,2.409
159.0,2.408
160.0,2.407
161.0,2.406
162.0,2.405
163.0,2.404
164.0,2.402
165.0,2.401
166.0,2.401
167.0,2.399
168.0,2.398
169.0,2.397
170.0,2.396
171.0,2.395
172.0,2.395
173.0,2.394
174.0,2.392
175.0,2.392
176.0,2.391
177.0,2.390
178.0,2.389
179.0,2.388
180.0,2.387
181.0,2.386
182.0,2.385
183.0,2.384
184.0,2.383
185.0,2.382
186.0,2.381
187.0,2.380
188.0,2.379
189.0,2.378
190.0,2.377
191.0,2.376
192.0,2.375
193.0,2.374
194.0,2.373
195.0,2.372
196.0,2.372
197.0,2.370
198.0,2.369
199.0,2.369
200.0,2.368
201.0,2.366
202.0,2.366
203.0,2.365
204.0,2.364
205.0,2.363
206.0,2.362
207.0,2.361
208.0,2.360
209.0,2.359
210.0,2.358
211.0,2.357
212.0,2.356
213.0,2.355
214.0,2.354
215.0,2.353
216.0,2.353
217.0,2.351
218.0,2.350
219.0,2.350
220.0,2.349
221.0,2.348
222.0,2.346
223.0,2.346
224.0,2.345
225.0,2.344
226.0,2.343
227.0,2.342
228.0,2.340
229.0,2.340
230.0,2.339
231.0,2.337
232.0,2.337
233.0,2.336
234.0,2.335
235.0,2.334
236.0,2.332
237.0,2.332
238.0,2.331
239.0,2.330
