"66771982.SPC"
WL/nm,Abs
700.00,-0.001
699.00,-0.001
698.00,-0.001
697.00,-0.001
696.00,-0.000
695.00,-0.000
694.00,-0.000
693.00,0.000
692.00,0.000
691.00,0.000
690.00,0.001
689.00,0.001
688.00,0.001
687.00,0.001
686.00,0.002
685.00,0.002
684.00,0.002
683.00,0.002
682.00,0.003
681.00,0.003
680.00,0.004
679.00,0.004
678.00,0.005
677.00,0.005
676.00,0.006
675.00,0.007
674.00,0.008
673.00,0.009
672.00,0.009
671.00,0.010
670.00,0.012
669.00,0.013
668.00,0.014
667.00,0.016
666.00,0.017
665.00,0.019
664.00,0.021
663.00,0.023
662.00,0.025
661.00,0.028
660.00,0.030
659.00,0.033
658.00,0.036
657.00,0.040
656.00,0.044
655.00,0.048
654.00,0.053
653.00,0.058
652.00,0.063
651.00,0.070
650.00,0.076
649.00,0.084
648.00,0.092
647.00,0.101
646.00,0.111
645.00,0.121
644.00,0.132
643.00,0.144
642.00,0.157
641.00,0.170
640.00,0.185
639.00,0.202
638.00,0.220
637.00,0.239
636.00,0.260
635.00,0.283
634.00,0.307
633.00,0.334
632.00,0.363
631.00,0.394
630.00,0.428
629.00,0.464
628.00,0.503
627.00,0.545
626.00,0.589
625.00,0.637
624.00,0.686
623.00,0.738
622.00,0.792
621.00,0.851
620.00,0.912
619.00,0.973
618.00,1.038
617.00,1.107
616.00,1.176
615.00,1.247
614.00,1.324
613.00,1.404
612.00,1.483
611.00,1.563
610.00,1.645
609.00,1.726
608.00,1.806
607.00,1.891
606.00,1.973
605.00,2.051
604.00,2.127
603.00,2.201
602.00,2.272
601.00,2.336
600.00,2.393
599.00,2.445
598.00,2.492
597.00,2.530
596.00,2.564
595.00,2.592
594.00,2.614
593.00,2.629
592.00,2.641
591.00,2.646
590.00,2.648
589.00,2.646
588.00,2.638
587.00,2.627
586.00,2.611
585.00,2.593
584.00,2.571
583.00,2.547
582.00,2.522
581.00,2.493
580.00,2.462
579.00,2.431
578.00,2.400
577.00,2.368
576.00,2.337
575.00,2.305
574.00,2.275
573.00,2.247
572.00,2.218
571.00,2.191
570.00,2.167
569.00,2.143
568.00,2.121
567.00,2.101
566.00,2.082
565.00,2.064
564.00,2.048
563.00,2.033
562.00,2.020
561.00,2.008
560.00,1.997
559.00,1.987
558.00,1.977
557.00,1.967
556.00,1.958
555.00,1.949
554.00,1.940
553.00,1.932
552.00,1.923
