"A1#.TMC"
Time/sec,Abs
0.0,0.0249
1.0,0.0173
2.0,0.0151
3.0,0.0222
4.0,0.0280
5.0,0.0314
6.0,0.0334
7.0,0.0339
8.0,0.0325
9.0,0.0330
10.0,0.0326
11.0,0.0402
12.0,0.0512
13.0,0.0528
14.0,0.0629
15.0,0.0691
16.0,0.0722
17.0,0.0747
18.0,0.0746
19.0,0.0652
20.0,0.0222
21.0,0.0187
22.0,0.0179
23.0,0.0199
24.0,0.0188
25.0,0.0218
26.0,0.0227
27.0,0.0229
28.0,0.0242
29.0,0.0288
30.0,0.0196
31.0,0.0185
32.0,0.0177
33.0,0.0175
34.0,0.0184
35.0,0.0194
36.0,0.0203
37.0,0.0222
38.0,0.0233
39.0,0.0234
40.0,0.0251
41.0,0.0258
42.0,0.0266
43.0,0.0279
44.0,0.0276
45.0,0.0268
46.0,0.0273
47.0,0.0282
48.0,0.0282
49.0,0.0291
50.0,0.0298
51.0,0.0300
52.0,0.0299
53.0,0.0311
54.0,0.0442
55.0,0.0546
56.0,0.0632
57.0,0.0709
58.0,0.0781
59.0,0.0833
60.0,0.0886
61.0,0.0922
62.0,0.0941
63.0,0.0958
64.0,0.0956
65.0,0.0959
66.0,0.0942
67.0,0.0929
68.0,0.0916
69.0,0.0878
70.0,0.0860
71.0,0.0463
72.0,0.0372
73.0,0.0376
74.0,0.0376
75.0,0.0409
76.0,0.0420
77.0,0.0435
78.0,0.0433
79.0,0.0416
80.0,0.0439
81.0,0.0439
82.0,0.0441
83.0,0.0460
84.0,0.0468
85.0,0.0495
86.0,0.0501
87.0,0.0498
88.0,0.0502
89.0,0.0497
90.0,0.0490
91.0,0.0496
92.0,0.0503
93.0,0.0511
94.0,0.0518
95.0,0.0526
96.0,0.0548
97.0,0.0543
98.0,0.0554
99.0,0.0562
100.0,0.0562
101.0,0.0568
102.0,0.0564
103.0,0.0579
104.0,0.0589
105.0,0.0591
106.0,0.0589
107.0,0.0601
108.0,0.0588
109.0,0.0585
110.0,0.0576
111.0,0.0574
112.0,0.0590
113.0,0.0597
114.0,0.0597
115.0,0.0598
116.0,0.0607
117.0,0.0613
118.0,0.0629
119.0,0.0646
120.0,0.0654
121.0,0.0680
122.0,0.0695
123.0,0.0692
124.0,0.0705
125.0,0.0720
126.0,0.0725
127.0,0.0743
128.0,0.0735
129.0,0.0746
130.0,0.0747
131.0,0.0754
132.0,0.0755
133.0,0.0755
134.0,0.0746
135.0,0.0760
136.0,0.0766
137.0,0.0757
138.0,0.0775
139.0,0.0786
140.0,0.0783
141.0,0.0783
142.0,0.0777
143.0,0.0779
144.0,0.0770
145.0,0.0780
146.0,0.0772
147.0,0.0773
148.0,0.0791
149.0,0.0816
150.0,0.0824
151.0,0.0839
152.0,0.0862
153.0,0.0880
154.0,0.0903
155.0,0.0910
156.0,0.0922
157.0,0.0926
158.0,0.0937
159.0,0.0941
160.0,0.0935
161.0,0.0944
162.0,0.0956
163.0,0.0962
