"A122.TMC"
Time/sec,Abs
0.0,0.0068
1.0,0.0069
2.0,0.0070
3.0,0.0071
4.0,0.0070
5.0,0.0069
6.0,0.0069
7.0,0.0069
8.0,0.0069
9.0,0.0069
10.0,0.0069
11.0,0.0069
12.0,0.0069
13.0,0.0070
14.0,0.0070
15.0,0.0070
16.0,0.0070
17.0,0.0071
18.0,0.0071
19.0,0.0071
20.0,0.0071
21.0,0.0071
22.0,0.0071
23.0,0.0072
24.0,0.0072
25.0,0.0072
26.0,0.0073
27.0,0.0073
28.0,0.0073
29.0,0.0074
30.0,0.0074
31.0,0.0074
32.0,0.0075
33.0,0.0075
34.0,0.0075
35.0,0.0076
36.0,0.0076
37.0,0.0076
38.0,0.0076
39.0,0.0077
40.0,0.0077
41.0,0.0077
42.0,0.0078
43.0,0.0078
44.0,0.0078
45.0,0.0078
46.0,0.0078
47.0,0.0079
48.0,0.0079
49.0,0.0079
50.0,0.0079
51.0,0.0078
52.0,0.0079
53.0,0.0079
54.0,0.0079
55.0,0.0079
56.0,0.0080
57.0,0.0080
58.0,0.0081
59.0,0.0081
60.0,0.0082
61.0,0.0082
62.0,0.0083
63.0,0.0083
64.0,0.0084
65.0,0.0084
66.0,0.0085
67.0,0.0085
68.0,0.0086
69.0,0.0086
70.0,0.0087
71.0,0.0088
72.0,0.0088
73.0,0.0089
74.0,0.0089
75.0,0.0090
76.0,0.0091
77.0,0.0092
78.0,0.0093
79.0,0.0093
80.0,0.0095
81.0,0.0096
82.0,0.0097
83.0,0.0098
84.0,0.0099
85.0,0.0100
86.0,0.0102
87.0,0.0103
88.0,0.0104
89.0,0.0105
90.0,0.0106
91.0,0.0107
92.0,0.0106
93.0,0.0107
94.0,0.0108
95.0,0.0109
96.0,0.0110
97.0,0.0111
98.0,0.0112
99.0,0.0114
100.0,0.0115
101.0,0.0116
102.0,0.0117
103.0,0.0118
104.0,0.0119
105.0,0.0120
106.0,0.0122
107.0,0.0123
108.0,0.0124
109.0,0.0125
110.0,0.0126
111.0,0.0127
112.0,0.0129
113.0,0.0130
114.0,0.0132
115.0,0.0133
116.0,0.0134
117.0,0.0136
118.0,0.0137
119.0,0.0138
120.0,0.0140
121.0,0.0141
122.0,0.0142
123.0,0.0144
124.0,0.0146
125.0,0.0147
126.0,0.0149
127.0,0.0150
128.0,0.0152
129.0,0.0153
130.0,0.0155
131.0,0.0156
132.0,0.0158
133.0,0.0159
134.0,0.0161
135.0,0.0162
136.0,0.0165
137.0,0.0166
138.0,0.0168
139.0,0.0170
140.0,0.0171
141.0,0.0173
142.0,0.0174
143.0,0.0176
144.0,0.0178
145.0,0.0179
146.0,0.0181
147.0,0.0182
148.0,0.0183
149.0,0.0185
150.0,0.0187
151.0,0.0188
152.0,0.0189
153.0,0.0191
154.0,0.0192
155.0,0.0194
156.0,0.0195
157.0,0.0197
158.0,0.0198
159.0,0.0200
160.0,0.0201
161.0,0.0203
162.0,0.0205
163.0,0.0206
164.0,0.0208
165.0,0.0209
166.0,0.0211
167.0,0.0212
168.0,0.0214
