"A2^.TMC"
Time/sec,Abs
0.0,-0.0022
1.0,-0.0021
2.0,-0.0020
3.0,-0.0021
4.0,-0.0021
5.0,-0.0021
6.0,-0.0021
7.0,-0.0021
8.0,-0.0021
9.0,-0.0021
10.0,-0.0021
11.0,-0.0021
12.0,-0.0021
13.0,-0.0021
14.0,-0.0022
15.0,-0.0022
16.0,-0.0022
17.0,-0.0022
18.0,-0.0022
19.0,-0.0022
20.0,-0.0022
21.0,-0.0022
22.0,-0.0021
23.0,-0.0021
24.0,-0.0020
25.0,-0.0020
26.0,-0.0020
27.0,-0.0020
28.0,-0.0019
29.0,-0.0019
30.0,-0.0020
31.0,-0.0020
32.0,-0.0021
33.0,-0.0022
34.0,-0.0022
35.0,-0.0022
36.0,-0.0022
37.0,-0.0022
38.0,-0.0022
39.0,-0.0022
40.0,-0.0022
41.0,-0.0022
42.0,-0.0022
43.0,-0.0022
44.0,-0.0022
45.0,-0.0021
46.0,-0.0021
47.0,-0.0021
48.0,-0.0021
49.0,-0.0021
50.0,-0.0021
51.0,-0.0021
52.0,-0.0021
53.0,-0.0022
54.0,-0.0021
55.0,-0.0021
56.0,-0.0021
57.0,-0.0021
58.0,-0.0021
59.0,-0.0021
60.0,-0.0021
61.0,-0.0021
62.0,-0.0021
63.0,-0.0021
64.0,-0.0021
65.0,-0.0020
66.0,-0.0020
67.0,-0.0020
68.0,-0.0020
69.0,-0.0020
70.0,-0.0019
71.0,-0.0019
72.0,-0.0019
73.0,-0.0019
74.0,-0.0019
75.0,-0.0019
76.0,-0.0019
77.0,-0.0019
78.0,-0.0019
79.0,-0.0019
80.0,-0.0019
81.0,-0.0019
82.0,-0.0019
83.0,-0.0018
84.0,-0.0018
85.0,-0.0018
86.0,-0.0018
87.0,-0.0018
88.0,-0.0018
89.0,-0.0017
90.0,-0.0017
91.0,-0.0017
92.0,-0.0017
93.0,-0.0017
94.0,-0.0017
95.0,-0.0017
96.0,-0.0017
97.0,-0.0016
98.0,-0.0016
99.0,-0.0016
100.0,-0.0016
101.0,-0.0016
102.0,-0.0016
103.0,-0.0016
104.0,-0.0016
105.0,-0.0016
106.0,-0.0016
107.0,-0.0015
108.0,-0.0015
109.0,-0.0015
110.0,-0.0015
111.0,-0.0015
112.0,-0.0015
113.0,-0.0015
114.0,-0.0015
115.0,-0.0015
116.0,-0.0015
117.0,-0.0015
118.0,-0.0014
119.0,-0.0014
120.0,-0.0014
121.0,-0.0014
122.0,-0.0014
123.0,-0.0014
124.0,-0.0013
125.0,-0.0011
126.0,-0.0011
127.0,-0.0010
128.0,-0.0009
129.0,-0.0009
130.0,-0.0008
131.0,-0.0008
132.0,-0.0007
133.0,-0.0007
134.0,-0.0006
135.0,-0.0006
136.0,-0.0005
137.0,-0.0005
138.0,-0.0004
139.0,-0.0004
140.0,-0.0003
141.0,-0.0003
142.0,-0.0003
143.0,-0.0003
144.0,-0.0003
145.0,-0.0002
146.0,-0.0002
147.0,-0.0002
148.0,-0.0002
149.0,-0.0002
150.0,-0.0001
151.0,-0.0002
152.0,-0.0002
153.0,-0.0002
154.0,-0.0002
155.0,-0.0007
156.0,-0.0008
157.0,-0.0008
158.0,-0.0008
159.0,-0.0008
160.0,-0.0008
161.0,-0.0008
162.0,-0.0007
163.0,-0.0007
164.0,-0.0007
165.0,-0.0007
166.0,-0.0007
167.0,-0.0007
168.0,-0.0007
169.0,-0.0006
170.0,-0.0006
171.0,-0.0005
172.0,-0.0005
173.0,-0.0005
174.0,-0.0005
175.0,-0.0004
176.0,-0.0004
177.0,-0.0004
178.0,-0.0004
179.0,-0.0004
180.0,-0.0003
181.0,-0.0003
182.0,-0.0002
183.0,-0.0002
184.0,-0.0002
185.0,-0.0001
186.0,-0.0001
187.0,-0.0001
188.0,-0.0001
189.0,0.0000
190.0,0.0000
191.0,0.0000
192.0,0.0000
193.0,0.0000
194.0,0.0000
195.0,0.0001
196.0,0.0001
197.0,0.0002
198.0,0.0002
199.0,0.0002
200.0,0.0003
201.0,0.0003
202.0,0.0003
203.0,0.0003
204.0,0.0004
205.0,0.0004
206.0,0.0004
207.0,0.0004
208.0,0.0004
209.0,0.0005
210.0,0.0005
211.0,0.0005
212.0,0.0005
213.0,0.0006
214.0,0.0006
215.0,0.0007
216.0,0.0007
217.0,0.0007
218.0,0.0008
219.0,0.0008
220.0,0.0008
221.0,0.0008
222.0,0.0008
223.0,0.0008
224.0,0.0008
225.0,0.0008
226.0,0.0008
227.0,0.0009
228.0,0.0009
229.0,0.0009
230.0,0.0009
231.0,0.0009
232.0,0.0010
233.0,0.0010
234.0,0.0010
235.0,0.0010
236.0,0.0011
237.0,0.0011
238.0,0.0011
239.0,0.0011
240.0,0.0011
241.0,0.0011
242.0,0.0012
243.0,0.0012
244.0,0.0013
245.0,0.0013
246.0,0.0014
247.0,0.0015
248.0,0.0016
249.0,0.0017
250.0,0.0018
251.0,0.0018
252.0,0.0019
253.0,0.0019
254.0,0.0019
255.0,0.0019
256.0,0.0020
257.0,0.0020
258.0,0.0020
259.0,0.0020
260.0,0.0021
261.0,0.0021
262.0,0.0022
263.0,0.0022
264.0,0.0023
265.0,0.0024
266.0,0.0024
267.0,0.0025
268.0,0.0025
269.0,0.0026
270.0,0.0027
271.0,0.0027
272.0,0.0028
273.0,0.0028
274.0,0.0029
275.0,0.0029
276.0,0.0029
277.0,0.0030
278.0,0.0030
279.0,0.0030
280.0,0.0030
281.0,0.0031
282.0,0.0031
283.0,0.0031
284.0,0.0032
285.0,0.0032
286.0,0.0033
287.0,0.0034
288.0,0.0034
289.0,0.0035
290.0,0.0036
291.0,0.0037
292.0,0.0037
293.0,0.0038
294.0,0.0038
295.0,0.0039
296.0,0.0040
297.0,0.0040
298.0,0.0041
299.0,0.0041
300.0,0.0041
301.0,0.0041
302.0,0.0041
303.0,0.0041
304.0,0.0041
305.0,0.0041
306.0,0.0042
307.0,0.0042
308.0,0.0042
309.0,0.0043
310.0,0.0045
311.0,0.0045
312.0,0.0046
313.0,0.0047
314.0,0.0047
315.0,0.0048
316.0,0.0049
317.0,0.0049
318.0,0.0050
319.0,0.0050
320.0,0.0051
321.0,0.0052
322.0,0.0053
323.0,0.0053
324.0,0.0054
325.0,0.0055
326.0,0.0056
327.0,0.0057
328.0,0.0058
329.0,0.0058
330.0,0.0058
331.0,0.0059
332.0,0.0059
333.0,0.0060
334.0,0.0060
335.0,0.0061
336.0,0.0061
337.0,0.0061
338.0,0.0062
339.0,0.0062
340.0,0.0063
341.0,0.0063
342.0,0.0064
343.0,0.0064
344.0,0.0065
345.0,0.0065
346.0,0.0066
347.0,0.0066
348.0,0.0067
349.0,0.0068
350.0,0.0069
351.0,0.0069
352.0,0.0070
353.0,0.0070
354.0,0.0071
355.0,0.0072
356.0,0.0072
357.0,0.0073
358.0,0.0073
359.0,0.0074
360.0,0.0075
361.0,0.0075
362.0,0.0075
363.0,0.0075
364.0,0.0076
365.0,0.0076
366.0,0.0077
367.0,0.0078
368.0,0.0078
369.0,0.0079
370.0,0.0080
371.0,0.0081
372.0,0.0082
373.0,0.0082
374.0,0.0083
375.0,0.0084
376.0,0.0084
377.0,0.0085
378.0,0.0085
379.0,0.0086
380.0,0.0086
381.0,0.0087
382.0,0.0088
383.0,0.0089
384.0,0.0090
385.0,0.0091
386.0,0.0091
387.0,0.0092
388.0,0.0092
389.0,0.0093
390.0,0.0093
391.0,0.0094
392.0,0.0095
393.0,0.0095
394.0,0.0096
395.0,0.0096
396.0,0.0097
397.0,0.0098
398.0,0.0098
399.0,0.0099
400.0,0.0100
401.0,0.0100
402.0,0.0100
403.0,0.0101
404.0,0.0101
405.0,0.0102
406.0,0.0103
407.0,0.0103
408.0,0.0104
409.0,0.0104
410.0,0.0105
411.0,0.0105
412.0,0.0106
413.0,0.0107
414.0,0.0107
415.0,0.0109
416.0,0.0109
417.0,0.0110
418.0,0.0111
419.0,0.0111
420.0,0.0112
421.0,0.0113
422.0,0.0113
423.0,0.0114
424.0,0.0114
425.0,0.0115
426.0,0.0115
427.0,0.0116
428.0,0.0117
429.0,0.0117
430.0,0.0118
431.0,0.0119
432.0,0.0119
433.0,0.0120
434.0,0.0121
435.0,0.0121
436.0,0.0122
437.0,0.0122
438.0,0.0122
439.0,0.0123
440.0,0.0123
441.0,0.0124
442.0,0.0124
443.0,0.0125
444.0,0.0126
445.0,0.0126
446.0,0.0127
447.0,0.0128
448.0,0.0128
449.0,0.0129
450.0,0.0129
451.0,0.0130
452.0,0.0130
453.0,0.0131
454.0,0.0132
455.0,0.0132
456.0,0.0133
457.0,0.0134
458.0,0.0135
459.0,0.0136
460.0,0.0136
461.0,0.0137
462.0,0.0137
463.0,0.0138
464.0,0.0138
465.0,0.0139
466.0,0.0139
467.0,0.0140
468.0,0.0141
469.0,0.0141
470.0,0.0142
471.0,0.0142
472.0,0.0143
473.0,0.0143
474.0,0.0144
475.0,0.0145
476.0,0.0145
477.0,0.0146
478.0,0.0147
479.0,0.0147
480.0,0.0147
481.0,0.0148
482.0,0.0149
483.0,0.0149
484.0,0.0150
485.0,0.0151
486.0,0.0151
487.0,0.0152
488.0,0.0153
489.0,0.0153
490.0,0.0154
491.0,0.0155
492.0,0.0155
493.0,0.0156
494.0,0.0156
495.0,0.0157
496.0,0.0158
497.0,0.0158
498.0,0.0159
499.0,0.0159
500.0,0.0160
501.0,0.0160
502.0,0.0161
503.0,0.0161
504.0,0.0161
505.0,0.0162
506.0,0.0163
507.0,0.0163
508.0,0.0164
509.0,0.0164
510.0,0.0164
511.0,0.0165
512.0,0.0165
513.0,0.0166
514.0,0.0166
515.0,0.0167
516.0,0.0167
517.0,0.0168
518.0,0.0169
519.0,0.0169
520.0,0.0170
521.0,0.0171
522.0,0.0171
523.0,0.0171
524.0,0.0172
525.0,0.0172
526.0,0.0173
527.0,0.0173
528.0,0.0173
529.0,0.0174
530.0,0.0175
531.0,0.0176
532.0,0.0176
533.0,0.0177
534.0,0.0177
535.0,0.0178
536.0,0.0179
537.0,0.0179
538.0,0.0180
539.0,0.0180
540.0,0.0181
541.0,0.0181
542.0,0.0182
543.0,0.0183
544.0,0.0184
545.0,0.0185
546.0,0.0186
547.0,0.0186
548.0,0.0186
549.0,0.0187
550.0,0.0188
551.0,0.0188
552.0,0.0189
553.0,0.0189
554.0,0.0190
555.0,0.0190
556.0,0.0191
557.0,0.0191
558.0,0.0191
559.0,0.0192
560.0,0.0192
561.0,0.0193
562.0,0.0193
563.0,0.0194
564.0,0.0195
565.0,0.0195
566.0,0.0196
567.0,0.0197
568.0,0.0198
569.0,0.0198
570.0,0.0199
571.0,0.0199
572.0,0.0200
573.0,0.0201
574.0,0.0201
575.0,0.0202
576.0,0.0202
577.0,0.0203
578.0,0.0203
579.0,0.0204
580.0,0.0205
581.0,0.0205
582.0,0.0205
583.0,0.0206
584.0,0.0206
585.0,0.0207
586.0,0.0207
587.0,0.0208
588.0,0.0208
589.0,0.0209
590.0,0.0210
591.0,0.0210
592.0,0.0210
593.0,0.0211
594.0,0.0212
595.0,0.0213
596.0,0.0213
597.0,0.0214
598.0,0.0215
599.0,0.0215
600.0,0.0215
601.0,0.0216
602.0,0.0217
603.0,0.0217
604.0,0.0218
605.0,0.0219
606.0,0.0219
607.0,0.0219
608.0,0.0220
609.0,0.0220
610.0,0.0220
611.0,0.0221
612.0,0.0222
613.0,0.0222
614.0,0.0222
615.0,0.0223
616.0,0.0224
617.0,0.0225
618.0,0.0225
619.0,0.0226
620.0,0.0227
621.0,0.0227
622.0,0.0228
623.0,0.0229
624.0,0.0229
625.0,0.0229
626.0,0.0230
627.0,0.0230
628.0,0.0231
629.0,0.0231
630.0,0.0232
631.0,0.0232
632.0,0.0233
633.0,0.0233
634.0,0.0233
635.0,0.0233
636.0,0.0233
637.0,0.0234
638.0,0.0234
639.0,0.0235
640.0,0.0235
641.0,0.0235
642.0,0.0236
643.0,0.0236
644.0,0.0236
645.0,0.0237
646.0,0.0237
647.0,0.0238
648.0,0.0239
649.0,0.0239
650.0,0.0240
651.0,0.0241
652.0,0.0241
653.0,0.0242
654.0,0.0242
655.0,0.0243
656.0,0.0243
657.0,0.0244
658.0,0.0245
659.0,0.0245
660.0,0.0246
661.0,0.0246
662.0,0.0247
663.0,0.0247
664.0,0.0247
665.0,0.0248
666.0,0.0248
667.0,0.0249
668.0,0.0249
669.0,0.0250
670.0,0.0250
671.0,0.0251
672.0,0.0251
673.0,0.0252
674.0,0.0252
675.0,0.0252
676.0,0.0253
677.0,0.0253
678.0,0.0253
679.0,0.0253
680.0,0.0253
681.0,0.0254
682.0,0.0254
683.0,0.0255
684.0,0.0256
685.0,0.0256
686.0,0.0256
687.0,0.0257
688.0,0.0257
689.0,0.0257
690.0,0.0258
691.0,0.0258
692.0,0.0259
693.0,0.0259
694.0,0.0260
695.0,0.0260
696.0,0.0261
697.0,0.0261
698.0,0.0262
699.0,0.0262
700.0,0.0262
701.0,0.0263
702.0,0.0263
703.0,0.0264
704.0,0.0264
705.0,0.0265
706.0,0.0265
707.0,0.0265
708.0,0.0266
709.0,0.0266
710.0,0.0267
711.0,0.0267
712.0,0.0268
713.0,0.0268
714.0,0.0269
715.0,0.0269
716.0,0.0270
717.0,0.0270
718.0,0.0271
719.0,0.0272
720.0,0.0273
721.0,0.0273
722.0,0.0274
723.0,0.0275
724.0,0.0275
725.0,0.0276
726.0,0.0276
727.0,0.0277
728.0,0.0277
729.0,0.0277
730.0,0.0277
731.0,0.0277
732.0,0.0277
733.0,0.0277
734.0,0.0277
735.0,0.0278
736.0,0.0278
737.0,0.0279
738.0,0.0280
739.0,0.0280
740.0,0.0281
741.0,0.0281
742.0,0.0282
743.0,0.0282
744.0,0.0282
745.0,0.0283
746.0,0.0283
747.0,0.0284
748.0,0.0284
749.0,0.0284
750.0,0.0285
751.0,0.0285
752.0,0.0286
753.0,0.0286
754.0,0.0286
755.0,0.0287
756.0,0.0287
757.0,0.0287
758.0,0.0288
759.0,0.0288
760.0,0.0288
761.0,0.0288
762.0,0.0289
763.0,0.0289
764.0,0.0289
765.0,0.0289
766.0,0.0290
767.0,0.0291
768.0,0.0291
769.0,0.0291
770.0,0.0292
771.0,0.0292
772.0,0.0293
773.0,0.0293
774.0,0.0294
775.0,0.0294
776.0,0.0294
777.0,0.0295
778.0,0.0295
779.0,0.0296
780.0,0.0296
781.0,0.0297
782.0,0.0297
783.0,0.0297
784.0,0.0298
785.0,0.0298
786.0,0.0299
787.0,0.0299
788.0,0.0299
789.0,0.0300
790.0,0.0300
791.0,0.0301
792.0,0.0301
793.0,0.0301
794.0,0.0302
795.0,0.0303
796.0,0.0303
797.0,0.0304
798.0,0.0304
799.0,0.0305
800.0,0.0305
801.0,0.0305
802.0,0.0306
803.0,0.0306
804.0,0.0307
805.0,0.0307
806.0,0.0308
807.0,0.0308
808.0,0.0308
809.0,0.0309
810.0,0.0309
811.0,0.0310
812.0,0.0310
813.0,0.0310
814.0,0.0309
815.0,0.0309
816.0,0.0309
817.0,0.0309
818.0,0.0309
819.0,0.0309
820.0,0.0310
821.0,0.0311
822.0,0.0311
823.0,0.0311
824.0,0.0312
825.0,0.0313
826.0,0.0314
827.0,0.0315
828.0,0.0315
829.0,0.0315
830.0,0.0316
831.0,0.0317
832.0,0.0317
833.0,0.0317
834.0,0.0318
835.0,0.0318
836.0,0.0318
837.0,0.0319
838.0,0.0319
839.0,0.0319
840.0,0.0319
841.0,0.0320
842.0,0.0320
843.0,0.0320
844.0,0.0320
845.0,0.0321
846.0,0.0321
847.0,0.0321
848.0,0.0321
849.0,0.0322
850.0,0.0322
851.0,0.0322
852.0,0.0322
853.0,0.0322
854.0,0.0322
855.0,0.0323
856.0,0.0323
857.0,0.0323
858.0,0.0324
859.0,0.0324
860.0,0.0324
861.0,0.0324
862.0,0.0325
863.0,0.0325
864.0,0.0325
865.0,0.0325
866.0,0.0325
867.0,0.0326
868.0,0.0326
869.0,0.0326
870.0,0.0327
871.0,0.0327
872.0,0.0327
873.0,0.0327
874.0,0.0327
875.0,0.0328
876.0,0.0328
877.0,0.0328
878.0,0.0328
879.0,0.0329
880.0,0.0329
881.0,0.0329
882.0,0.0330
883.0,0.0330
884.0,0.0331
885.0,0.0331
886.0,0.0332
887.0,0.0332
888.0,0.0332
889.0,0.0333
890.0,0.0333
891.0,0.0333
892.0,0.0334
893.0,0.0334
894.0,0.0334
895.0,0.0334
896.0,0.0334
897.0,0.0334
898.0,0.0335
899.0,0.0335
900.0,0.0335
901.0,0.0335
902.0,0.0336
903.0,0.0336
904.0,0.0337
905.0,0.0337
906.0,0.0337
907.0,0.0338
908.0,0.0338
909.0,0.0338
910.0,0.0338
911.0,0.0339
912.0,0.0339
913.0,0.0339
914.0,0.0340
915.0,0.0340
916.0,0.0340
917.0,0.0341
918.0,0.0341
919.0,0.0341
920.0,0.0341
921.0,0.0342
922.0,0.0342
923.0,0.0342
924.0,0.0342
925.0,0.0342
926.0,0.0343
927.0,0.0343
928.0,0.0343
929.0,0.0344
930.0,0.0344
931.0,0.0344
932.0,0.0345
933.0,0.0345
934.0,0.0345
935.0,0.0345
936.0,0.0345
937.0,0.0346
938.0,0.0346
939.0,0.0346
940.0,0.0346
941.0,0.0347
942.0,0.0347
943.0,0.0348
944.0,0.0348
945.0,0.0349
946.0,0.0349
947.0,0.0349
948.0,0.0350
949.0,0.0350
950.0,0.0351
951.0,0.0351
952.0,0.0352
953.0,0.0352
954.0,0.0352
955.0,0.0353
956.0,0.0353
957.0,0.0353
958.0,0.0354
959.0,0.0354
960.0,0.0355
961.0,0.0355
962.0,0.0355
963.0,0.0355
964.0,0.0355
965.0,0.0355
966.0,0.0356
967.0,0.0356
968.0,0.0356
969.0,0.0356
970.0,0.0356
971.0,0.0357
972.0,0.0357
973.0,0.0358
974.0,0.0358
975.0,0.0358
976.0,0.0359
977.0,0.0359
978.0,0.0359
979.0,0.0359
980.0,0.0360
981.0,0.0360
982.0,0.0360
983.0,0.0360
984.0,0.0361
985.0,0.0361
986.0,0.0362
987.0,0.0362
988.0,0.0363
989.0,0.0363
990.0,0.0364
991.0,0.0364
992.0,0.0365
993.0,0.0365
994.0,0.0366
995.0,0.0366
996.0,0.0366
997.0,0.0367
998.0,0.0367
999.0,0.0368
1000.0,0.0368
1001.0,0.0368
1002.0,0.0368
1003.0,0.0369
1004.0,0.0369
1005.0,0.0370
1006.0,0.0370
1007.0,0.0370
1008.0,0.0371
1009.0,0.0371
1010.0,0.0372
1011.0,0.0372
1012.0,0.0372
1013.0,0.0372
1014.0,0.0373
1015.0,0.0373
1016.0,0.0373
1017.0,0.0373
1018.0,0.0373
1019.0,0.0373
1020.0,0.0373
1021.0,0.0373
1022.0,0.0373
1023.0,0.0373
1024.0,0.0374
1025.0,0.0374
1026.0,0.0374
1027.0,0.0375
1028.0,0.0375
1029.0,0.0375
1030.0,0.0376
1031.0,0.0376
1032.0,0.0377
1033.0,0.0377
1034.0,0.0377
1035.0,0.0378
1036.0,0.0378
1037.0,0.0378
1038.0,0.0379
1039.0,0.0379
1040.0,0.0380
1041.0,0.0380
1042.0,0.0380
1043.0,0.0381
1044.0,0.0381
1045.0,0.0381
1046.0,0.0382
1047.0,0.0382
1048.0,0.0382
1049.0,0.0382
1050.0,0.0382
1051.0,0.0382
1052.0,0.0383
1053.0,0.0383
1054.0,0.0383
1055.0,0.0383
1056.0,0.0384
1057.0,0.0384
1058.0,0.0384
1059.0,0.0385
1060.0,0.0385
1061.0,0.0385
1062.0,0.0386
1063.0,0.0386
1064.0,0.0386
1065.0,0.0386
1066.0,0.0386
1067.0,0.0386
1068.0,0.0386
1069.0,0.0386
1070.0,0.0387
1071.0,0.0387
1072.0,0.0387
1073.0,0.0388
1074.0,0.0388
1075.0,0.0387
1076.0,0.0388
1077.0,0.0388
1078.0,0.0388
1079.0,0.0388
1080.0,0.0388
1081.0,0.0388
1082.0,0.0389
1083.0,0.0389
1084.0,0.0389
1085.0,0.0390
1086.0,0.0390
1087.0,0.0391
1088.0,0.0391
1089.0,0.0392
1090.0,0.0392
1091.0,0.0392
1092.0,0.0393
1093.0,0.0393
1094.0,0.0393
1095.0,0.0393
1096.0,0.0394
1097.0,0.0394
1098.0,0.0394
1099.0,0.0394
1100.0,0.0394
1101.0,0.0394
1102.0,0.0395
1103.0,0.0395
1104.0,0.0395
1105.0,0.0395
1106.0,0.0396
1107.0,0.0396
1108.0,0.0396
1109.0,0.0396
