A9.TMC;
Time/sec,Abs;
0;0,002
1;0,002
2;0,002
3;0,002
4;0,002
5;0,002
6;0,002
7;0,002
8;0,002
9;0,002
10;0,002
11;0,002
12;0,002
13;0,002
14;0,002
15;0,002
16;0,002
17;0,002
18;0,002
19;0,002
20;0,002
21;0,0021
22;0,0021
23;0,0021
24;0,0022
25;0,0022
26;0,0023
27;0,0023
28;0,0023
29;0,0024
30;0,0024
31;0,0024
32;0,0024
33;0,0025
34;0,0025
35;0,0025
36;0,0025
37;0,0025
38;0,0025
39;0,0025
40;0,0025
41;0,0026
42;0,0026
43;0,0026
44;0,0026
45;0,0026
46;0,0026
47;0,0026
48;0,0026
49;0,0026
50;0,0027
51;0,0026
52;0,0026
53;0,0026
54;0,0026
55;0,0026
56;0,0026
57;0,0026
58;0,0026
59;0,0026
60;0,0026
61;0,0026
62;0,0027
63;0,0027
64;0,0027
65;0,0027
66;0,0027
67;0,0028
68;0,0028
69;0,0028
70;0,0028
71;0,0028
72;0,0028
73;0,0028
74;0,0028
75;0,0029
76;0,0029
77;0,0029
78;0,0029
79;0,0029
80;0,003
81;0,003
82;0,003
83;0,003
84;0,0031
85;0,0031
86;0,0031
87;0,0031
88;0,0031
89;0,0032
90;0,0032
91;0,0032
92;0,0033
93;0,0033
94;0,0033
95;0,0034
96;0,0034
97;0,0034
98;0,0035
99;0,0035
100;0,0035
101;0,0035
102;0,0036
103;0,0036
104;0,0036
105;0,0036
106;0,0036
107;0,0037
108;0,0037
109;0,0037
110;0,0038
111;0,0038
112;0,0039
113;0,0039
114;0,004
115;0,004
116;0,004
117;0,0041
118;0,0041
119;0,0042
120;0,0042
121;0,0042
122;0,0043
123;0,0044
124;0,0044
125;0,0044
126;0,0045
127;0,0045
128;0,0046
129;0,0046
130;0,0047
131;0,0047
132;0,0048
133;0,0048
134;0,0049
135;0,005
136;0,005
137;0,0051
138;0,0051
139;0,0052
140;0,0053
141;0,0053
142;0,0054
143;0,0054
144;0,0055
145;0,0056
146;0,0056
147;0,0057
148;0,0058
149;0,0058
150;0,0059
151;0,006
152;0,006
153;0,0061
154;0,0062
155;0,0063
156;0,0063
157;0,0064
158;0,0065
159;0,0066
160;0,0067
161;0,0067
162;0,0068
163;0,0069
164;0,0069
165;0,007
166;0,0071
167;0,0072
168;0,0073
169;0,0074
170;0,0074
171;0,0075
172;0,0076
