"BC6.TMC"
Time/sec,Abs
0.0,1.5336
1.0,1.5291
2.0,1.5232
3.0,1.5179
4.0,1.5130
5.0,1.5076
6.0,1.5025
7.0,1.4972
8.0,1.4917
9.0,1.4863
10.0,1.4809
11.0,1.4754
12.0,1.4696
13.0,1.4638
14.0,1.4580
15.0,1.4524
16.0,1.4466
17.0,1.4406
18.0,1.4348
19.0,1.4290
20.0,1.4226
21.0,1.4167
22.0,1.4107
23.0,1.4046
24.0,1.3988
25.0,1.3928
26.0,1.3866
27.0,1.3805
28.0,1.3746
29.0,1.3687
30.0,1.3630
31.0,1.3574
32.0,1.3517
33.0,1.3459
34.0,1.3402
35.0,1.3343
36.0,1.3285
37.0,1.3225
38.0,1.3165
39.0,1.3103
40.0,1.3042
41.0,1.2982
42.0,1.2922
43.0,1.2860
44.0,1.2800
45.0,1.2738
46.0,1.2677
47.0,1.2617
48.0,1.2557
49.0,1.2498
50.0,1.2438
51.0,1.2379
52.0,1.2319
53.0,1.2261
54.0,1.2202
55.0,1.2142
56.0,1.2082
57.0,1.2023
58.0,1.1963
59.0,1.1904
60.0,1.1847
61.0,1.1790
62.0,1.1732
63.0,1.1674
64.0,1.1618
65.0,1.1560
66.0,1.1503
67.0,1.1446
68.0,1.1389
69.0,1.1333
70.0,1.1277
71.0,1.1220
72.0,1.1163
73.0,1.1106
74.0,1.1049
75.0,1.0992
76.0,1.0936
77.0,1.0879
78.0,1.0823
79.0,1.0768
80.0,1.0713
81.0,1.0658
82.0,1.0603
83.0,1.0548
84.0,1.0492
85.0,1.0437
86.0,1.0382
87.0,1.0328
88.0,1.0274
89.0,1.0221
90.0,1.0168
91.0,1.0116
92.0,1.0063
93.0,1.0011
94.0,0.9959
95.0,0.9908
96.0,0.9856
97.0,0.9805
98.0,0.9755
99.0,0.9706
100.0,0.9656
101.0,0.9607
102.0,0.9558
103.0,0.9510
104.0,0.9462
105.0,0.9413
106.0,0.9366
107.0,0.9318
108.0,0.9271
109.0,0.9224
110.0,0.9177
111.0,0.9130
112.0,0.9084
113.0,0.9037
