"CCC1.TMC"
Time/sec,Abs
0.0,1.4384
1.0,1.4361
2.0,1.4338
3.0,1.4307
4.0,1.4279
5.0,1.4251
6.0,1.4222
7.0,1.4195
8.0,1.4168
9.0,1.4140
10.0,1.4112
11.0,1.4084
12.0,1.4054
13.0,1.4024
14.0,1.3994
15.0,1.3965
16.0,1.3936
17.0,1.3906
18.0,1.3876
19.0,1.3847
20.0,1.3816
21.0,1.3786
22.0,1.3756
23.0,1.3725
24.0,1.3695
25.0,1.3668
26.0,1.3641
27.0,1.3614
28.0,1.3585
29.0,1.3552
30.0,1.3520
31.0,1.3489
32.0,1.3457
33.0,1.3425
34.0,1.3393
35.0,1.3362
36.0,1.3331
37.0,1.3300
38.0,1.3270
39.0,1.3240
40.0,1.3208
41.0,1.3178
42.0,1.3147
43.0,1.3117
44.0,1.3086
45.0,1.3056
46.0,1.3025
47.0,1.2995
48.0,1.2965
49.0,1.2935
50.0,1.2904
51.0,1.2874
52.0,1.2843
53.0,1.2813
54.0,1.2782
55.0,1.2751
56.0,1.2719
57.0,1.2688
58.0,1.2657
59.0,1.2626
60.0,1.2595
61.0,1.2565
62.0,1.2535
63.0,1.2505
64.0,1.2475
65.0,1.2444
66.0,1.2414
67.0,1.2385
68.0,1.2355
69.0,1.2325
70.0,1.2294
71.0,1.2263
72.0,1.2233
73.0,1.2203
74.0,1.2173
75.0,1.2142
76.0,1.2112
77.0,1.2082
78.0,1.2052
79.0,1.2022
80.0,1.1992
81.0,1.1963
82.0,1.1933
83.0,1.1904
84.0,1.1874
85.0,1.1844
86.0,1.1815
87.0,1.1786
88.0,1.1757
89.0,1.1727
90.0,1.1698
91.0,1.1669
92.0,1.1640
93.0,1.1612
94.0,1.1583
95.0,1.1555
96.0,1.1526
97.0,1.1498
98.0,1.1469
99.0,1.1441
100.0,1.1412
101.0,1.1384
102.0,1.1355
103.0,1.1327
104.0,1.1298
105.0,1.1270
106.0,1.1242
107.0,1.1213
108.0,1.1185
109.0,1.1157
110.0,1.1129
111.0,1.1101
112.0,1.1073
113.0,1.1046
114.0,1.1018
115.0,1.0991
116.0,1.0963
117.0,1.0936
118.0,1.0910
119.0,1.0882
120.0,1.0855
121.0,1.0828
122.0,1.0801
123.0,1.0775
124.0,1.0748
125.0,1.0721
126.0,1.0695
127.0,1.0668
128.0,1.0643
129.0,1.0616
130.0,1.0589
131.0,1.0563
132.0,1.0537
133.0,1.0511
134.0,1.0485
135.0,1.0459
136.0,1.0433
137.0,1.0408
138.0,1.0382
139.0,1.0356
140.0,1.0331
141.0,1.0305
142.0,1.0280
143.0,1.0254
144.0,1.0228
145.0,1.0203
146.0,1.0178
147.0,1.0152
148.0,1.0127
149.0,1.0102
150.0,1.0077
151.0,1.0051
152.0,1.0026
153.0,1.0001
154.0,0.9976
155.0,0.9951
156.0,0.9926
157.0,0.9902
158.0,0.9877
159.0,0.9853
160.0,0.9828
161.0,0.9804
162.0,0.9779
163.0,0.9756
164.0,0.9732
165.0,0.9708
166.0,0.9684
167.0,0.9660
168.0,0.9637
169.0,0.9613
170.0,0.9589
171.0,0.9566
172.0,0.9543
173.0,0.9520
174.0,0.9496
175.0,0.9474
176.0,0.9450
177.0,0.9427
178.0,0.9404
179.0,0.9381
180.0,0.9358
181.0,0.9335
182.0,0.9312
183.0,0.9289
184.0,0.9267
185.0,0.9245
186.0,0.9222
187.0,0.9200
188.0,0.9178
189.0,0.9156
190.0,0.9134
191.0,0.9112
192.0,0.9090
193.0,0.9068
194.0,0.9046
195.0,0.9024
196.0,0.9002
197.0,0.8980
198.0,0.8959
199.0,0.8937
200.0,0.8916
201.0,0.8895
202.0,0.8873
203.0,0.8852
204.0,0.8831
205.0,0.8810
206.0,0.8789
207.0,0.8767
208.0,0.8747
209.0,0.8726
210.0,0.8706
211.0,0.8686
212.0,0.8665
213.0,0.8645
214.0,0.8624
215.0,0.8602
216.0,0.8581
217.0,0.8560
218.0,0.8540
219.0,0.8519
220.0,0.8499
221.0,0.8479
222.0,0.8460
223.0,0.8440
224.0,0.8420
225.0,0.8400
226.0,0.8379
227.0,0.8358
228.0,0.8339
229.0,0.8319
230.0,0.8300
231.0,0.8281
232.0,0.8261
233.0,0.8241
234.0,0.8222
235.0,0.8203
236.0,0.8183
237.0,0.8164
238.0,0.8145
239.0,0.8126
240.0,0.8106
241.0,0.8088
242.0,0.8069
243.0,0.8050
244.0,0.8031
245.0,0.8013
246.0,0.7994
247.0,0.7975
248.0,0.7957
249.0,0.7938
250.0,0.7919
251.0,0.7901
252.0,0.7883
253.0,0.7864
254.0,0.7846
255.0,0.7828
256.0,0.7810
257.0,0.7792
258.0,0.7774
259.0,0.7756
260.0,0.7738
261.0,0.7720
262.0,0.7702
263.0,0.7684
264.0,0.7666
265.0,0.7648
266.0,0.7631
267.0,0.7615
268.0,0.7599
269.0,0.7581
270.0,0.7563
271.0,0.7544
272.0,0.7526
273.0,0.7509
274.0,0.7491
275.0,0.7474
276.0,0.7457
277.0,0.7440
278.0,0.7424
279.0,0.7407
280.0,0.7390
281.0,0.7373
282.0,0.7357
283.0,0.7340
284.0,0.7323
285.0,0.7307
286.0,0.7291
287.0,0.7275
288.0,0.7258
289.0,0.7242
290.0,0.7226
291.0,0.7210
292.0,0.7195
293.0,0.7178
294.0,0.7162
295.0,0.7147
296.0,0.7131
297.0,0.7116
298.0,0.7100
299.0,0.7084
300.0,0.7068
301.0,0.7053
302.0,0.7038
303.0,0.7023
304.0,0.7007
305.0,0.6992
306.0,0.6977
307.0,0.6961
308.0,0.6946
309.0,0.6930
310.0,0.6915
311.0,0.6900
312.0,0.6886
313.0,0.6871
314.0,0.6856
315.0,0.6841
316.0,0.6827
317.0,0.6812
318.0,0.6797
319.0,0.6783
320.0,0.6768
321.0,0.6754
322.0,0.6739
323.0,0.6725
324.0,0.6710
325.0,0.6696
326.0,0.6681
327.0,0.6667
328.0,0.6653
329.0,0.6639
330.0,0.6626
331.0,0.6612
332.0,0.6598
333.0,0.6584
334.0,0.6570
335.0,0.6556
336.0,0.6542
337.0,0.6529
338.0,0.6515
339.0,0.6501
340.0,0.6488
341.0,0.6474
342.0,0.6461
343.0,0.6448
